model,domain_gap,irrel_gap,relevance_gap,control_rate,mean_rate,allpass_domain_gap,allpass_irrel_gap,allpass_relevance_gap,allpass_control_rate,allpass_mean_rate
qwen3-8b-base,,,,0.5836734693877551,0.5897535853867883,,,,,0.16619047619047606
qwen3-8b-nothink,,,,0.7918367346938775,0.782517006802721,,,,,0.5011309523809527
qwen3-8b-think,,,,0.8612244897959184,0.8679818594104308,,,,,0.6880505952380956
