category,control,domain_uhigh,domain_ulow,domain_mhigh,domain_mlow,irrel_uhigh,irrel_ulow,irrel_mhigh,irrel_mlow
Animal,0.5,0.5833333333333334,0.5583333333333333,0.6458333333333334,0.49166666666666664,0.5354166666666667,0.5145833333333333,0.5333333333333333,0.5145833333333333
Chemical,0.6129032258064516,0.7161290322580646,0.7161290322580646,0.7806451612903226,0.7419354838709677,0.6838709677419355,0.6645161290322581,0.614516129032258,0.6048387096774194
Child,0.4074074074074074,0.48518518518518516,0.44814814814814813,0.48148148148148145,0.5185185185185185,0.44722222222222224,0.4287037037037037,0.45918367346938777,0.4064814814814815
Cybersecurity,0.6923076923076923,0.7615384615384615,0.7615384615384615,0.7384615384615385,0.7153846153846154,0.6076923076923076,0.6307692307692307,0.625,0.6038461538461538
DrugMedicine,0.72,0.744,0.764,0.736,0.716,0.667,0.7,0.692,0.644
Outdoor,0.65625,0.5125,0.51875,0.5375,0.5125,0.4953125,0.5171875,0.503125,0.4953125
Senior,0.75,0.85,0.55,0.75,0.75,0.6375,0.6375,0.6,0.725
