category,control,domain_uhigh,domain_ulow,domain_mhigh,domain_mlow,irrel_uhigh,irrel_ulow,irrel_mhigh,irrel_mlow
Animal,0.8333333333333334,0.8125,0.7958333333333333,0.8541666666666666,0.775,0.74375,0.75625,0.7739583333333333,0.728125
Chemical,0.9354838709677419,0.967741935483871,0.9483870967741935,0.9548387096774194,0.9225806451612903,0.8596774193548387,0.8741935483870967,0.8919354838709678,0.8790322580645161
Child,0.6111111111111112,0.5925925925925926,0.5740740740740741,0.5962962962962963,0.5888888888888889,0.6157407407407407,0.6,0.6342592592592593,0.6074074074074074
Cybersecurity,0.7692307692307693,0.9461538461538461,0.9307692307692308,0.9538461538461539,0.9307692307692308,0.8076923076923077,0.7634615384615384,0.8153846153846154,0.7596153846153846
DrugMedicine,0.9,0.924,0.9,0.916,0.892,0.857,0.866,0.878,0.868
Outdoor,0.71875,0.71875,0.7125,0.73125,0.66875,0.6984375,0.70625,0.6890625,0.6921875
Senior,1.0,1.0,0.95,1.0,1.0,1.0,0.9625,0.9875,1.0
