model,block,effect,estimate,se,ci_lo,ci_hi,p
qwen3vl-8b-instruct,domain,user (high-low),-0.03750000000000009,0.028862304161479422,-0.09499999999999997,0.019999999999999907,0.1994501374656336
qwen3vl-8b-instruct,domain,model (high-low),-0.027499999999999858,0.028084467674597574,-0.08250000000000002,0.02749999999999997,0.35291177205698576
qwen3vl-8b-instruct,domain,interaction,0.04499999999999993,0.04401579158000687,-0.04499999999999982,0.13,0.32041989502624346
qwen3vl-8b-instruct,irrel,user (high-low),-0.0031250000000000444,0.010251943898061881,-0.023125000000000062,0.016874999999999973,0.7818045488627843
qwen3vl-8b-instruct,irrel,model (high-low),-0.004375000000000129,0.009377204821952097,-0.02375000000000005,0.013125000000000053,0.680829792551862
qwen3vl-8b-instruct,irrel,interaction,0.026249999999999996,0.01821256333772587,-0.008749999999999925,0.06250000000000011,0.14846288427893026
qwen3vl-8b-think,domain,user (high-low),0.0024999999999999467,0.026123192263647857,-0.050000000000000044,0.052562500000000324,0.9752561859535116
qwen3vl-8b-think,domain,model (high-low),-0.07750000000000001,0.03227958815881834,-0.14500000000000002,-0.022499999999999964,0.007498125468632842
qwen3vl-8b-think,domain,interaction,0.02499999999999991,0.03610918814328414,-0.040000000000000036,0.09999999999999998,0.530367408147963
qwen3vl-8b-think,irrel,user (high-low),-1.1102230246251565e-16,0.0031822452406718867,-0.0068749999999999645,0.006249999999999867,1.0
qwen3vl-8b-think,irrel,model (high-low),-0.01749999999999996,0.005942250026036342,-0.030015625000000018,-0.0068750000000000755,0.0014996250937265683
qwen3vl-8b-think,irrel,interaction,0.02749999999999997,0.01014310088317302,0.008718749999999942,0.047531250000000205,0.0034991252186953262
