model,block,contrast,estimate,se,ci_lo,ci_hi,p
qwen3vl-8b-instruct,domain,power gradient,-0.0024999999999999467,0.023298105048741958,-0.04749999999999999,0.04500000000000004,0.9322669332666833
qwen3vl-8b-instruct,domain,matched - mismatched,0.012499999999999956,0.013032682539231356,-0.01375000000000004,0.03750000000000009,0.3594101474631342
qwen3vl-8b-instruct,irrel,power gradient,-0.01750000000000007,0.009827412233245151,-0.03749999999999998,0.0012499999999999734,0.07048237940514872
qwen3vl-8b-instruct,irrel,matched - mismatched,0.0024999999999999467,0.006779206844582473,-0.010624999999999888,0.016249999999999987,0.7463134216445888
qwen3vl-8b-think,domain,power gradient,0.020000000000000018,0.02353622064330938,-0.02749999999999997,0.06500000000000006,0.41939515121219695
qwen3vl-8b-think,domain,matched - mismatched,0.011249999999999982,0.01159908281634997,-0.010000000000000009,0.03500000000000003,0.33941514621344665
qwen3vl-8b-think,irrel,power gradient,0.005624999999999991,0.006964394132509423,-0.008124999999999938,0.01937500000000003,0.4403899025243689
qwen3vl-8b-think,irrel,matched - mismatched,-0.005624999999999991,0.00620072787835421,-0.018125000000000058,0.006249999999999978,0.3684078980254936
