category,control,domain_high,domain_low,irrel_high,irrel_low
Animal,1.0,0.9125,0.95,0.90625,0.896875
Chemical,1.0,1.0,1.0,1.0,1.0
Child,0.8333333333333334,0.7777777777777778,0.7666666666666667,0.8527777777777777,0.8083333333333333
Cybersecurity,0.7777777777777778,1.0,0.8666666666666667,0.8888888888888888,0.8055555555555556
DrugMedicine,0.9411764705882353,0.9176470588235294,0.9294117647058824,0.9205882352941176,0.9352941176470588
Outdoor,0.9090909090909091,0.7454545454545455,0.6909090909090909,0.7136363636363636,0.7090909090909091
Senior,0.5,1.0,1.0,0.8,0.825
