model,block,contrast,estimate,se,ci_lo,ci_hi,p
qwen3vl-8b-instruct,domain,power gradient,0.0050000000000000044,0.036363924207185566,-0.06000000000000005,0.07999999999999996,0.9757560609847538
qwen3vl-8b-instruct,domain,matched - mismatched,0.0025000000000001688,0.013536888797798257,-0.02499999999999991,0.029999999999999916,0.9097725568607848
qwen3vl-8b-instruct,irrel,power gradient,-0.036250000000000004,0.015144655897706624,-0.06625000000000003,-0.007500000000000062,0.014496375906023495
qwen3vl-8b-instruct,irrel,matched - mismatched,-0.008124999999999938,0.009665014104037497,-0.026875000000000093,0.011249999999999982,0.41539615096225946
qwen3vl-8b-think,domain,power gradient,-0.039999999999999925,0.02915693968479795,-0.10499999999999998,0.010000000000000009,0.18445388652836792
qwen3vl-8b-think,domain,matched - mismatched,0.010000000000000009,0.014549104245380903,-0.01749999999999996,0.040000000000000036,0.5343664083979005
qwen3vl-8b-think,irrel,power gradient,-0.006249999999999978,0.011841473542226769,-0.02999999999999992,0.01628125000000021,0.6313421644588852
qwen3vl-8b-think,irrel,matched - mismatched,-0.025000000000000022,0.010255473372243508,-0.04562500000000003,-0.005624999999999991,0.00899775056235941
