model,condition,rate,n,se,ci95,all_pass_rate,facts,facts_passed,rows_per_fact,all_pass_rate_k5,rate_balanced,n_dimensions
qwen3-8b-base,control,0.5836734693877551,245,0.031557828165561644,0.061853343204500824,0.2619047619047619,84,22,2.9166666666666665,,0.5836734693877551,1
qwen3-8b-base,domain_uhigh_mhigh,0.6073469387755102,1225,0.013958289720023371,0.02735824785124581,0.03571428571428571,84,3,14.583333333333334,0.16872023809523795,0.624443285806189,7
qwen3-8b-base,domain_uhigh_mlow,0.5542857142857143,1225,0.014207066421134156,0.027845850185422946,0.011904761904761904,84,1,14.583333333333334,0.10279761904761901,0.6082937820841047,7
qwen3-8b-base,domain_ulow_mhigh,0.6383673469387755,1225,0.01373341177938774,0.02691748708759997,0.011904761904761904,84,1,14.583333333333334,0.17886904761904734,0.665325295075295,7
qwen3-8b-base,domain_ulow_mlow,0.5975510204081632,1225,0.014016907344968205,0.027473138396137683,0.011904761904761904,84,1,14.583333333333334,0.11764880952380967,0.6133219537332442,7
qwen3-8b-base,irrel_uhigh_mhigh,0.576734693877551,4900,0.0070589589285122555,0.01383555949988402,0.0,84,0,58.333333333333336,0.12288690476190477,0.576734693877551,4
qwen3-8b-base,irrel_uhigh_mlow,0.5330612244897959,4900,0.007127952494487688,0.013970786889195867,0.0,84,0,58.333333333333336,0.09360119047619055,0.533061224489796,4
qwen3-8b-base,irrel_ulow_mhigh,0.5736734693877551,4900,0.007065612944722055,0.013848601371655228,0.0,84,0,58.333333333333336,0.13107142857142856,0.5736734693877551,4
qwen3-8b-base,irrel_ulow_mlow,0.523469387755102,4900,0.007135712229764133,0.0139859959703377,0.0,84,0,58.333333333333336,0.09714285714285714,0.523469387755102,4
qwen3-8b-nothink,control,0.7918367346938775,245,0.025991117672813337,0.05094259063871414,0.5595238095238095,84,47,2.9166666666666665,,0.7918367346938775,1
qwen3-8b-nothink,domain_uhigh_mhigh,0.8146938775510204,1225,0.011105839725408292,0.021767445861800253,0.44047619047619047,84,37,14.583333333333334,0.5750297619047623,0.8587078491997847,7
qwen3-8b-nothink,domain_uhigh_mlow,0.7820408163265307,1225,0.011800803739308616,0.023129575329044888,0.32142857142857145,84,27,14.583333333333334,0.4892261904761909,0.8301252084235955,7
qwen3-8b-nothink,domain_ulow_mhigh,0.8293877551020408,1225,0.010752097636538283,0.02107411136761503,0.4166666666666667,84,35,14.583333333333334,0.5754464285714297,0.866003909173264,7
qwen3-8b-nothink,domain_ulow_mlow,0.796734693877551,1225,0.011502646805717739,0.02254518773920677,0.38095238095238093,84,32,14.583333333333334,0.5157440476190466,0.8393581833339897,7
qwen3-8b-nothink,irrel_uhigh_mhigh,0.7497959183673469,4900,0.0061882095446293035,0.012128890707473436,0.19047619047619047,84,16,58.333333333333336,0.4427380952380955,0.7497959183673469,4
qwen3-8b-nothink,irrel_uhigh_mlow,0.7416326530612245,4900,0.00625402358299415,0.012257886222668534,0.11904761904761904,84,10,58.333333333333336,0.4194047619047614,0.7416326530612245,4
qwen3-8b-nothink,irrel_ulow_mhigh,0.7583673469387755,4900,0.006115949688071468,0.011987261388620076,0.15476190476190477,84,13,58.333333333333336,0.45375000000000115,0.7583673469387755,4
qwen3-8b-nothink,irrel_ulow_mlow,0.726938775510204,4900,0.006365392887445279,0.012476170059392746,0.15476190476190477,84,13,58.333333333333336,0.40657738095238066,0.7269387755102041,4
qwen3-8b-think,control,0.8612244897959184,245,0.02213195041997259,0.04337862282314627,0.7261904761904762,84,61,2.9166666666666665,,0.8612244897959184,1
qwen3-8b-think,domain_uhigh_mhigh,0.8889795918367347,1225,0.008979591836734692,0.017599999999999998,0.6904761904761905,84,58,14.583333333333334,0.7503869047619047,0.9110464669738862,7
qwen3-8b-think,domain_uhigh_mlow,0.8816326530612245,1225,0.009233557994251811,0.01809777366873355,0.5595238095238095,84,47,14.583333333333334,0.6964583333333352,0.9066592192156708,7
qwen3-8b-think,domain_ulow_mhigh,0.9004081632653061,1225,0.008559351744134802,0.016776329418504213,0.6428571428571429,84,54,14.583333333333334,0.7511904761904757,0.9212543293027163,7
qwen3-8b-think,domain_ulow_mlow,0.8922448979591837,1225,0.008862785713795163,0.01737105999903852,0.5714285714285714,84,48,14.583333333333334,0.7067559523809552,0.910600177898565,7
qwen3-8b-think,irrel_uhigh_mhigh,0.8485714285714285,4900,0.0051214671967047265,0.010038075705541263,0.34523809523809523,84,29,58.333333333333336,0.6471726190476182,0.8485714285714285,4
qwen3-8b-think,irrel_uhigh_mlow,0.8348979591836735,4900,0.005304435840555611,0.010396694247488998,0.2857142857142857,84,24,58.333333333333336,0.6144047619047628,0.8348979591836735,4
qwen3-8b-think,irrel_ulow_mhigh,0.8575510204081632,4900,0.0049935101340525725,0.009787279862743041,0.39285714285714285,84,33,58.333333333333336,0.6574107142857136,0.8575510204081633,4
qwen3-8b-think,irrel_ulow_mlow,0.8381632653061224,4900,0.0052619794216302316,0.010313479666395254,0.32142857142857145,84,27,58.333333333333336,0.616488095238096,0.8381632653061224,4
