model,condition,delta_vs_control,se,ci_lo,ci_hi,p
qwen3-8b-base,domain_uhigh_mhigh,0.023673469387755053,0.031202909527720587,-0.03837201868699288,0.08192869840015798,0.4823794051487128
qwen3-8b-base,domain_uhigh_mlow,-0.029387755102040836,0.0315953687492512,-0.09157385640121465,0.0304544102335267,0.3514121469632592
qwen3-8b-base,domain_ulow_mhigh,0.0546938775510204,0.031336593147213515,-0.005785123966942085,0.11510755431204747,0.0854786303424144
qwen3-8b-base,domain_ulow_mlow,0.013877551020408108,0.0325247698290323,-0.04839141112438599,0.07611815683787782,0.6908272931767058
qwen3-8b-base,irrel_uhigh_mhigh,-0.006938775510204054,0.028529649875619494,-0.06127328235372519,0.04898000163920994,0.8172956760809797
qwen3-8b-base,irrel_uhigh_mlow,-0.050612244897959235,0.028712628604835817,-0.10569665461121158,0.00524246604414262,0.0804798800299925
qwen3-8b-base,irrel_ulow_mhigh,-0.010000000000000009,0.029672045234359883,-0.06707329619592498,0.048170731707317005,0.7398150462384404
qwen3-8b-base,irrel_ulow_mlow,-0.06020408163265312,0.028727031056608777,-0.11518218623481785,-0.004131806278270909,0.0379905023744064
qwen3-8b-nothink,domain_uhigh_mhigh,0.02285714285714291,0.020370370745005133,-0.017007518796992506,0.06255391938122863,0.28142964258935266
qwen3-8b-nothink,domain_uhigh_mlow,-0.009795918367346834,0.018730737712587684,-0.04634619213539078,0.026723363286264415,0.5933516620844789
qwen3-8b-nothink,domain_ulow_mhigh,0.03755102040816327,0.016711004202758506,0.005737119437939148,0.0721311475409836,0.023994001499625092
qwen3-8b-nothink,domain_ulow_mlow,0.004897959183673528,0.017580643514280226,-0.028577142857142863,0.0396800611487224,0.8142964258935266
qwen3-8b-nothink,irrel_uhigh_mhigh,-0.04204081632653056,0.01773534379435357,-0.07727458256029685,-0.008162435705989698,0.01699575106223444
qwen3-8b-nothink,irrel_uhigh_mlow,-0.050204081632653,0.015359304254179921,-0.08057186234817823,-0.02061042425268854,0.000999750062484379
qwen3-8b-nothink,irrel_ulow_mhigh,-0.033469387755102,0.015798468711223847,-0.06469538307126128,-0.0032745221413508735,0.032491877030742314
qwen3-8b-nothink,irrel_ulow_mlow,-0.06489795918367347,0.017128170915664064,-0.09896371384297524,-0.032327535950252596,0.0004998750312421895
qwen3-8b-think,domain_uhigh_mhigh,0.027755102040816326,0.020158030898019465,-0.011676204819277045,0.06666666666666665,0.17645588602849288
qwen3-8b-think,domain_uhigh_mlow,0.020408163265306145,0.018001756569932196,-0.01463563962170235,0.055286736545051424,0.2614346413396651
qwen3-8b-think,domain_ulow_mhigh,0.03918367346938778,0.01969090646184546,0.0008230452674897748,0.07787335065973615,0.042989252686828294
qwen3-8b-think,domain_ulow_mlow,0.031020408163265345,0.017124006598122056,-0.0024002409638554877,0.06499999999999995,0.06848287928017996
qwen3-8b-think,irrel_uhigh_mhigh,-0.012653061224489837,0.01674097046916388,-0.04601005278144321,0.019962082393933236,0.4498875281179705
qwen3-8b-think,irrel_uhigh_mlow,-0.02632653061224488,0.017073205291804863,-0.06024785126435259,0.006426350563544514,0.11697075731067233
qwen3-8b-think,irrel_ulow_mhigh,-0.003673469387755146,0.016114473612654875,-0.0353911728395061,0.027461316493810638,0.8242939265183704
qwen3-8b-think,irrel_ulow_mlow,-0.023061224489795973,0.01698168989191484,-0.05728818998716305,0.0094265175455922,0.16445888527868033
