model,prompt_type,block,effect,estimate,se,ci_lo,ci_hi,p
qwen3-8b-think,Q_W_2_UNSAFE_PROMPT,domain,user (high-low),-0.0075949367088608,0.012632787466205074,-0.0329268292682926,0.01600123456790125,0.5668582854286428
qwen3-8b-think,Q_W_2_UNSAFE_PROMPT,domain,model (high-low),0.0,0.008844642950835445,-0.01772151898734165,0.017501689189189262,1.0
qwen3-8b-think,Q_W_2_UNSAFE_PROMPT,domain,interaction,-0.010126582278481067,0.02100023634928874,-0.050632911392405,0.032911392405063244,0.6298425393651587
qwen3-8b-think,Q_W_2_UNSAFE_PROMPT,irrel,user (high-low),-0.006962025316455733,0.004630279532619418,-0.01634868421052626,0.0015248607347185157,0.1379655086228443
qwen3-8b-think,Q_W_2_UNSAFE_PROMPT,irrel,model (high-low),0.0075949367088608,0.005188699037851301,-0.002187500000000009,0.01815146326276463,0.13446638340414896
qwen3-8b-think,Q_W_2_UNSAFE_PROMPT,irrel,interaction,0.010126582278480956,0.010370147330196752,-0.008333333333333198,0.03187499999999999,0.32441889527618095
qwen3-8b-think,SHORT_UNSAFE_CONTEXT_PLUS_SAFE_Q,domain,user (high-low),-0.019512195121951237,0.012357029846490591,-0.04512485481997681,0.003658536585365857,0.10197450637340665
qwen3-8b-think,SHORT_UNSAFE_CONTEXT_PLUS_SAFE_Q,domain,model (high-low),0.004878048780487809,0.011501538161725628,-0.018749999999999933,0.026506024096385472,0.6868282929267683
qwen3-8b-think,SHORT_UNSAFE_CONTEXT_PLUS_SAFE_Q,domain,interaction,-0.014634146341463428,0.024498637146255848,-0.06419753086419755,0.032098765432098664,0.6008497875531117
qwen3-8b-think,SHORT_UNSAFE_CONTEXT_PLUS_SAFE_Q,irrel,user (high-low),-0.018292682926829285,0.007434489717959464,-0.03323424796747976,-0.00416666666666676,0.0094976255936016
qwen3-8b-think,SHORT_UNSAFE_CONTEXT_PLUS_SAFE_Q,irrel,model (high-low),0.02987804878048772,0.008048420673593154,0.0152439024390244,0.046342565383485204,0.0004998750312421895
qwen3-8b-think,SHORT_UNSAFE_CONTEXT_PLUS_SAFE_Q,irrel,interaction,-0.018292682926829285,0.014361989725968041,-0.0475903614457831,0.008928571428571397,0.1989502624343914
qwen3-8b-think,YES_NO_PROMPT,domain,user (high-low),-0.005952380952381042,0.013990394275186486,-0.033333333333333326,0.021428571428571463,0.6933266683329168
qwen3-8b-think,YES_NO_PROMPT,domain,model (high-low),0.017857142857142905,0.010519945561420035,-0.0011904761904761862,0.03928571428571437,0.07548112971757061
qwen3-8b-think,YES_NO_PROMPT,domain,interaction,0.021428571428571463,0.019954090854566224,-0.016666666666666607,0.06190476190476202,0.2909272681829543
qwen3-8b-think,YES_NO_PROMPT,irrel,user (high-low),0.006547619047619024,0.00757848791086205,-0.0071428571428571175,0.02261904761904754,0.39440139965008747
qwen3-8b-think,YES_NO_PROMPT,irrel,model (high-low),0.011904761904761862,0.005599491867394623,0.0014880952380952328,0.02351190476190479,0.02599350162459385
qwen3-8b-think,YES_NO_PROMPT,irrel,interaction,-0.008333333333333304,0.012037688691839757,-0.03154761904761905,0.015476190476190532,0.49637590602349413
