category,block,estimate,se,ci_lo,ci_hi,p
Activity,domain,0.09999999999999998,0.1152411417281243,-0.15000000000000002,0.30000000000000004,0.3709072731817046
Activity,irrel,0.009375000000000022,0.05009491256381177,-0.08750000000000013,0.11006250000000022,0.7718070482379406
Exercise,domain,-0.0625,0.06366170056629716,-0.17513888888888893,0.0714285714285714,0.3595
Exercise,irrel,-0.03749999999999998,0.012892651757765494,-0.06499999999999995,-0.014964285714285819,0.0025
Food,domain,-0.03749999999999998,0.06297890471276578,-0.1572142857142858,0.08750000000000002,0.5663584103974006
Food,irrel,-0.025000000000000022,0.012402247954784605,-0.05193181818181822,-0.004151785714285648,0.03899025243689078
Game,domain,-0.012499999999999956,0.039415561263044956,-0.09187499999999993,0.06666666666666665,0.8952761809547614
Game,irrel,-0.006249999999999978,0.006077780142009534,-0.020000000000000018,0.0,0.7293176705823544
Health,domain,0.03749999999999998,0.04166883587479997,-0.033333333333333326,0.12730519480519498,0.5128717820544864
Health,irrel,0.0031249999999999334,0.01472693478904623,-0.018750000000000044,0.03611111111111099,0.9807548112971757
Home,domain,-0.012499999999999956,0.029959387277548658,-0.07142857142857151,0.04999999999999993,0.819
Home,irrel,0.018750000000000044,0.01402500098254764,-0.0050000000000000044,0.04999999999999993,0.2
Office,domain,0.08749999999999991,0.055238277202461834,-0.011180555555555617,0.20000000000000007,0.1235
Office,irrel,-0.021874999999999978,0.029737173712599537,-0.0888888888888888,0.028124999999999956,0.5215
Research,domain,0.0,0.026906046592484884,-0.050000000000000044,0.050000000000000044,1.0
Research,irrel,-0.015625,0.016519121956095742,-0.04500000000000004,0.020000000000000018,0.39040239940015
Study,domain,0.07499999999999996,0.04977935701501954,0.0,0.18571428571428572,0.10202550637659415
Study,irrel,0.015625,0.015948033900828648,0.0,0.0535714285714286,0.6641660415103776
Travel,domain,0.07499999999999996,0.05025713221344564,0.0,0.18888888888888888,0.09597600599850037
Travel,irrel,0.028124999999999956,0.022936245621389177,-0.005572916666666638,0.08000000000000007,0.2129467633091727
