model,condition,se,ci_lo,ci_hi,n_facts
qwen3vl-8b-instruct,control,0.03708440416142616,0.8,0.9375,80
qwen3vl-8b-instruct,domain_uhigh_mhigh,0.054189849233412565,0.525,0.725,80
qwen3vl-8b-instruct,domain_uhigh_mlow,0.054623429182827976,0.475,0.6875,80
qwen3vl-8b-instruct,domain_ulow_mhigh,0.053684670629282234,0.5375,0.7375,80
qwen3vl-8b-instruct,domain_ulow_mlow,0.055121628553781915,0.4125,0.6375,80
qwen3vl-8b-instruct,irrel_uhigh_mhigh,0.056216505180623384,0.3625,0.5875,80
qwen3vl-8b-instruct,irrel_uhigh_mlow,0.05551024983904931,0.325,0.55,80
qwen3vl-8b-instruct,irrel_ulow_mhigh,0.05508216718816455,0.325,0.5375,80
qwen3vl-8b-instruct,irrel_ulow_mlow,0.05491484889269228,0.35,0.5625,80
qwen3vl-8b-think,control,0.04169546469799318,0.75,0.9125,80
qwen3vl-8b-think,domain_uhigh_mhigh,0.054075122121383004,0.55,0.75,80
qwen3vl-8b-think,domain_uhigh_mlow,0.05555755514708131,0.475,0.7,80
qwen3vl-8b-think,domain_ulow_mhigh,0.05554495409770184,0.425,0.65,80
qwen3vl-8b-think,domain_ulow_mlow,0.05565560966085702,0.5,0.725,80
qwen3vl-8b-think,irrel_uhigh_mhigh,0.05487418689918751,0.5,0.725,80
qwen3vl-8b-think,irrel_uhigh_mlow,0.05392038633905768,0.525,0.7375,80
qwen3vl-8b-think,irrel_ulow_mhigh,0.05621998092803182,0.425,0.65,80
qwen3vl-8b-think,irrel_ulow_mlow,0.05188285613210285,0.575,0.775,80
