model,domain_gap,irrel_gap,relevance_gap,control_rate,mean_rate,allpass_domain_gap,allpass_irrel_gap,allpass_relevance_gap,allpass_control_rate,allpass_mean_rate
qwen3vl-8b-instruct,,,,0.875,0.8280555555555555,,,,,0.6197109375000004
qwen3vl-8b-think,,,,0.8375,0.83,,,,,0.658167968750001
