model,block,effect,estimate,se,ci_lo,ci_hi,p
qwen3vl-8b-instruct,domain,user (high-low),0.023749999999999938,0.018338726672645335,-0.013749999999999929,0.05874999999999997,0.218945263684079
qwen3vl-8b-instruct,domain,model (high-low),0.03375000000000006,0.018211450729470127,-0.0024999999999999467,0.06875000000000009,0.06498375406148463
qwen3vl-8b-instruct,domain,interaction,-0.04749999999999999,0.025785375600060768,-0.09750000000000003,1.1102230246251565e-16,0.058485378655336165
qwen3vl-8b-instruct,irrel,user (high-low),-0.006249999999999978,0.007357864013190757,-0.020937500000000053,0.0078125,0.3834041489627593
qwen3vl-8b-instruct,irrel,model (high-low),-0.0024999999999999467,0.00552215173373671,-0.013125000000000053,0.008437499999999987,0.6598350412396901
qwen3vl-8b-instruct,irrel,interaction,0.01750000000000007,0.012903522022736334,-0.007499999999999951,0.04312500000000008,0.1699575106223444
qwen3vl-8b-think,domain,user (high-low),0.012499999999999956,0.014833319776567162,-0.01750000000000007,0.04125000000000001,0.4318920269932517
qwen3vl-8b-think,domain,model (high-low),0.025000000000000022,0.01795926594874438,-0.010000000000000009,0.05875000000000008,0.1754561359660085
qwen3vl-8b-think,domain,interaction,-0.015000000000000013,0.026253811658388738,-0.06999999999999995,0.03500000000000003,0.604348912771807
qwen3vl-8b-think,irrel,user (high-low),-0.003750000000000142,0.006060903441407003,-0.015625,0.008437499999999987,0.5298675331167209
qwen3vl-8b-think,irrel,model (high-low),-0.0031250000000000444,0.007101018795024031,-0.016874999999999973,0.011249999999999982,0.6693326668332916
qwen3vl-8b-think,irrel,interaction,-0.0012499999999999734,0.011040093020299813,-0.023125000000000062,0.020625000000000004,0.944763809047738
