model,block,contrast,estimate,se,ci_lo,ci_hi,p
qwen3vl-8b-instruct,domain,power gradient,-0.010000000000000009,0.019574108469304345,-0.04749999999999999,0.030000000000000027,0.6633341664583854
qwen3vl-8b-instruct,domain,matched - mismatched,-0.023749999999999938,0.012892687800030382,-0.04875000000000007,2.7755575615729888e-18,0.05998500374906274
qwen3vl-8b-instruct,irrel,power gradient,-0.003750000000000031,0.007411020241182367,-0.01937499999999992,0.010015625000000066,0.6473381654586353
qwen3vl-8b-instruct,irrel,matched - mismatched,0.008750000000000036,0.006451761011368167,-0.003750000000000031,0.02156250000000004,0.171457135716071
qwen3vl-8b-think,domain,power gradient,-0.012499999999999956,0.021374131060794638,-0.05499999999999994,0.030000000000000027,0.5783554111472132
qwen3vl-8b-think,domain,matched - mismatched,-0.007500000000000062,0.013126905829194369,-0.03499999999999992,0.01749999999999996,0.6103474131467134
qwen3vl-8b-think,irrel,power gradient,-0.0006249999999999867,0.007221525772551178,-0.015000000000000013,0.012500000000000067,0.9757560609847538
qwen3vl-8b-think,irrel,matched - mismatched,-0.0006249999999998757,0.005520046510149906,-0.011562500000000031,0.010312499999999947,0.9492626843289178
